School Name,Phone,Address
"A.S.C. Public School Bangalore, Karnataka","080 - 25550677","Victoria LayoutUlsoor BANGALORE(Dist) Karnataka Pincode - 560007"
"Acharya Pathasala Public School Bangalore, Karnataka","080 - 26621302","Narasimha Raja Colony BANGALORE(Dist) Karnataka Pincode - 560019"
"A.S.C. Public School Bangalore, Karnataka","080 - 25550677","ASC Centere Victoria LayoutAgaram BANGALORE(Dist) Karnataka Pincode - 560007"
"Akhila Public School Bangalore, Karnataka","080 - 23389438","Location-17915th Main 9th CrossR.P.C. LayoutVijay Nagar BANGALORE(Dist) Karnataka Pincode - 560040"
"Alfred Nobel Public School Bangalore, Karnataka","","Mahadeshwara NagarVishwaneedam PostSunkadakatte BANGALORE(Dist) Karnataka Pincode - 560091"
"Alpine Public School Bangalore, Karnataka","080 - 32003949","19/1 Konankunte CrossBikasipura Behind MetroSouth Off Kanakpura Main Road BANGALORE(Dist) Karnataka Pincode - 560062"
"Amar Jyothi Public School Bangalore, Karnataka","080 - 25612555","Basavanapura Main RoadDevasandra KrishnarajapuramNear Ayyappa Temple BANGALORE(Dist) Karnataka Pincode - 560036"
"Amara Jyothi Public School Bangalore, Karnataka","080 - 25612555","Basavanapura Main RoadDevasandraK.R. Puram BANGALORE(Dist) Karnataka Pincode - 560003"
"Angel English Public School Bangalore, Karnataka","080 - 23306496","#7494TH Main 9TH CrossM.C.LayoutVijayanagar BANGALORE(Dist) Karnataka Pincode - 560040"
"Apollo National Public School Bangalore, Karnataka","080 - 26692847","7th Block3rd StageBanashankari BANGALORE(Dist) Karnataka Pincode - 560085"
"Army Public School Bangalore, Karnataka","080 - 25581238","K. Kamaraja RoadSivanchetty Garden PostNear Brigade Towers BANGALORE(Dist) Karnataka Pincode - 560042"
"Asc Public School Bangalore, Karnataka","080 - 25300408","Victoria Command J.C. Nagar BANGALORE(Dist) Karnataka Pincode - 560006"
"Ashok International Public School Bangalore, Karnataka","080 - 23452999","Vsanthappa Main RoadKammagondahalli BANGALORE(Dist) Karnataka Pincode - 830291"
"Athena Public School Bangalore, Karnataka","080 - 26675909","61/35th Main RoadChamarajpet BANGALORE(Dist) Karnataka Pincode - 560018"
"Auden Public School Bangalore, Karnataka","080 - 26721901","#17 GirinagarPhase- II BANGALORE(Dist) Karnataka Pincode - 560085"
"B P Indian Public School Bangalore, Karnataka","080 - 23347314","#64/47 11th Cross5th Main Malleswaram BANGALORE(Dist) Karnataka Pincode - 560003"
"B.G.S. National Public School Bangalore, Karnataka","080 - 26484933","Ramalingeshwara Cave TempleHulimavu Bannerghatta Road BANGALORE(Dist) Karnataka Pincode - 560076"
"B.E.M.L Public School Bangalore, Karnataka","080 - 5230959","Shishya BEML TownshipNew Thippasandra BANGALORE(Dist) Karnataka Pincode - 560075"
"Baden Powell Public School Mysore, Karnataka","0821 - 2420160","Sri Jayachamarajendra Scouts and Guides BhavanBehind D.C Office MYSORE(Dist) Karnataka Pincode - 570005"
"Bangalore International Public School Bangalore, Karnataka","080 - 26664446","#58/2 Subramanyapura Main RoadChikkallasandra BANGALORE(Dist) Karnataka Pincode - 560061"
"Bapuji High School Davangere, Karnataka","08192 - 293610","Kunebelakere DAVANGERE(Dist) Karnataka Pincode - 577601"
"Basava Residential Girls School Bangalore, Karnataka","080 - 65636375","19th K.M. On Mysore RoadDoddabele a Kengeri BANGALORE(Dist) Karnataka Pincode - 560060"
"Bearys Public School Bangalore, Karnataka","0824 - 2457886","Bearys Campus Hat Hill BANGALORE(Dist) Karnataka Pincode - 575006"
"Beersheba Public School Bangalore, Karnataka","080 - 32902507","No.6/1KempapuraNethaji NgrHebbal Kempapura BANGALORE(Dist) Karnataka Pincode - 560045"
"Beml Public School Bangalore, Karnataka","080 - 25230959","Shishya Beml TownshipNew Thipprsandra BANGALORE(Dist) Karnataka Pincode - 560075"
"Bharath International Public School Bangalore, Karnataka","080 - 23396158","1437 2nd CrossChandra LayoutBharathmatha RoadVijaya Nagar BANGALORE(Dist) Karnataka Pincode - 560040"
"Bharathiya Public School Bangalore, Karnataka","080 - 22202023","Bharathiya Public School28 7th CrossVasanth Nagar BANGALORE(Dist) Karnataka Pincode - 560052"
"Blue Bell Public School Bangalore, Karnataka","080 - 65329642","14th CrossHosa RoadCK NagarElectronic City BANGALORE(Dist) Karnataka Pincode - 560100"
"C.N.K. Public School Bangalore, Karnataka","080 - 23549115","Cholanayakanahalli Muneshwara Blockmain Road Near Hebbal FlyoverR.T. Nagar BANGALORE(Dist) Karnataka Pincode - 560032"
"C.M.R. National Public School Bangalore, Karnataka","080 - 25440693","#20792nd Main 3rd Block3rd Stage Hrbr LayoutKalyan Nagar BANGALORE(Dist) Karnataka Pincode - 560084"
"California Public School Bellary, Karnataka","080 - 23488623","134 Vishwabharathi CampusMagadi Road BELLARY(Dist) Karnataka Pincode - 560079"
"Cambridge Public School Bangalore, Karnataka","080 - 25729281","Sarjapur Road4th BlockKoramangala BANGALORE(Dist) Karnataka Pincode - 560034"
"Capitol Public School Bangalore, Karnataka","080 - 26851095","#1 9th CrossR.B.I. Layout7th PhaseJ.P. Nagar BANGALORE(Dist) Karnataka Pincode - 560078"
"Cambridge Public School Bangalore, Karnataka","080 - 25723839","H.S.R. Layout BANGALORE(Dist) Karnataka Pincode - 560034"
"Carmel Garden Public School Bangalore, Karnataka","080 - 25525541","#8 4th AvenueAvenue Teachers ColonyKoramangala BANGALORE(Dist) Karnataka Pincode - 560034"
"Chidartha Public School Bangalore, Karnataka","080 - 23336093","Chowdaiah BlockR.T. Nagar BANGALORE(Dist) Karnataka Pincode - 560032"
"Christ Public School Mysore, Karnataka","0821 - 2598202","BEML 20nd LayoutRajarajeshwari NagarBogadi MYSORE(Dist) Karnataka Pincode - 570026"
"Carmel Public School Bangalore, Karnataka","080 - 26841286","6Near RNS MotorsMuniyappa LayoutGarvebhavi Palya CircleHosur Road BANGALORE(Dist) Karnataka Pincode - 560029"
"Clarence Public School Bangalore, Karnataka","080 - 26584245","Next to Telephone ExchangeIII Phase J.P. Nagar BANGALORE(Dist) Karnataka Pincode - 560078"
"De Paul Public School Mysore, Karnataka","0821 - 2450280","30/1 Sathagalli ExtensionMahadevapur Road MYSORE(Dist) Karnataka Pincode - 570019"
"Dalhousie Public School Bangalore, Karnataka","080 - 23453556","Holiday Home Farm BuildingSingapura VillageVidyaranyapuraDoddabommasandra BANGALORE(Dist) Karnataka Pincode - 560097"
"Delhi Public School Bangalore, Karnataka","080 - 26668582","11 KM Kankapura RoadKonnanakunte Post BANGALORE(Dist) Karnataka Pincode - 560062"
"Delhi Public School Bangalore, Karnataka","080 - 26570314","New #3/2 Al Ameen ApartmentsP T Street Near Vijaya CollegeBasavanagudi BANGALORE(Dist) Karnataka Pincode - 560004"
"Diana Public School Bangalore, Karnataka","080 - 28444469","No 68 Jakkur PostChokkanahalliHegde NagarYelahanka BANGALORE(Dist) Karnataka Pincode - 560064"
"East West Public School Bangalore, Karnataka","080 - 23496950","13th CrossMahalaxmi LayoutWest of Chord Road BANGALORE(Dist) Karnataka Pincode - 560086"
