Name,Phone
"Kendriya Vidyalaya No.1, Bangalore Urban","080-28389852"
"Kendriya Vidyalaya No.1, Dakshina Kannada","0824 407337 , 407337"
"Kendriya Vidyalaya No.1, Dharwad","0831 352434 , 3440503"
"Kendriya Vidyalaya No.2, Bangalore Urban","080 - 28389700, 25301227"
"Kendriya Vidyalaya No.2, Belgaum","0831 2426299 , 428920 2428920"
"Kendriya Vidyalaya No.2, Dharwad","0836 265184 , 362919"
"Jawahar Navodaya Vidyalaya -2, Mysore","08474 292600"
"Kendriya Vidyalaya No.3, Belgaum","0831 2460777"
"Kenriya Vidyalaya No.2, Dakshina Kannada","0824 424755 , 424755"
"515 Army Base Workshop High School, Bangalore Urban","08025307559"
"A M C School, Bangalore Urban","080 56987028 , 26638994 28562544"
"T.M.A.E Society Dav Public School, Bellary","08394 265511 , 717487"
"A.C. Shetty Memorial Primary School, Udupi","08284 08259-285269, 08259-285369 , 28562544"
"DR.N.A. Magadum Central Public School, Belgaum","(08338) 254291"
"R. A. Patil Public School, Belgaum","08338295541"
"A. C. School, Bengaluru","080-28383180, 080-23452133"
"H. A. L. Gnanajyoti School, Bengaluru","080-25400037, 08025400860"
"Aavishkar Academy, Bengaluru","080-25561666"
"National Academy For Learning, Bangalore Urban","+91-80-23239281"
"Vidyashilp Academy, Bangalore Urban","080-28563678"
"The Sudarshan Vidya Mandir I.C.S.E. Academy, Bengaluru","080-26646221, 080-26641982"
"Gnana Deepa Academy Residential School, Bangalore Rural",""
"Sarala Birla Academy, Bangalore Urban","080-41348200, 080-41348203"
"Karaumbiah's Academy For Learning and Sports, Kodagu","08274-279456, 08274-279457"
"Mitra Academy, Bengaluru","080-41107545, 080-26482386"
"Inventure Academy, Bangalore Urban","080 27822101, 02, 03, 04"
"Insight Academy, Bengaluru","080-26667333, 080-26667444"
"National Academy For Learning, Bangalore Urban","080 3239281 , 3231567 5296667"
"Silicon City Academy of Secondary Education, Bangalore Urban","080 26323953 , 57538443"
"PSBB Learning Leadership Academy, Bangalore Urban","+91–080–27837021/22"
"S M S Academy of Central Education, Kodagu","0751 08274-200025 , 0751-4033202"
"Vidyanjali Academy For Learning, Bangalore Urban","01655 240352"
"The Deen's Academy, Bangalore Urban","02423 080-28454464 , 09412714997"
"Diya Academy of Learning, Bangalore Urban","08284 080 32953468 , 28562544"
"The Samhita Academy, Bangalore Urban","080-27837001"
"Bensons International Academy, Mysore","0821 2302266"
"The Fbes Academy, Belgaum","08332 25004 , 25154 25004"
"The Amaatra Academy Lower Primary School, Bangalore Urban","9686329789"
"Pramati Hill View Academy, Mysore","0821 2414691 , 0821-2411004"
"Sri Kumaran Childrens Academy, Bangalore Urban","08026322921"
"Raj Academy Higher Primery & Raj Academy High School, Dakshina Kannada","08284 08242256215 , 28562544"
"Kunil Ilmu Academy, Dakshina Kannada","919448217157"
"National Academy School, Kodagu","08274248748"
"Florence Academy, Bangalore Urban","08027848202"
"Achievers Academy, Bangalore Urban","08027839266"
"Global Academy For Learning School, Bangalore Urban","08064555804"
"Young Scholars Academy, Bangalore Urban","08023657788"
"S.v.s Educational Academy, Bangalore Urban","080 30407906"
"De Sales Academy, Bangalore Rural","080-27836250, 080-27832450"
"Christ Academy I. C. S. E. School, Bengaluru","080-27837100, 080-27837101"
"Janak Academy, Bengaluru","080-26581477"
"Notre Dame Academy, Bengaluru","08861628237"
"St. Patrick's Academy, Bengaluru","080-28439115, 080-28440729"
"Carmel Academy, Bengaluru","08040964602"
"Redbridge International Academy, Bengaluru","+918110420303"
"Acharya Pathasala Public School, Bengaluru","080-26621302, 080-26603826"
"Acharya Vidya Kula, Mysore","0821-2402150"
"ACTS Secondary School, Bengaluru","080-65370156, 080-65370157"
"Adhyayan School, Mysore","0821-2476147, 09342241211"
"Sri. Adichunchanagiri Central School, Mysore","08284 0821-2463869 , 28562544"
"Mallya Aditi International School, Bengaluru","080-40447000, 28560506, 080-28560507"
"Aditya Public School, Bangalore Rural","080-27622700, 080-27425001"
"The Aditya Birla Public School, Dharwad","08192 42171-1 , 42871-5 43710"
"The Aditya Birla Public School, Gulbarga","08441 288213 , 66166 09844890026"
"Seventh Day Adventist Higher Secondary School, Bengaluru","080-25514606, 080-25552426"
"Dr. N. Shankara Adyanthaya Memorial English Medium High School, Udupi","080 08258-281100 , 6637959"
"Mirambika School For New Age, Bangalore Urban","080 26640562 , 885 22449882"
"Aecs Magnolia Maaruti Public School, Bangalore Urban","08192 08026485622 , 240486"
"Agragami Vidya Kendra, Bangalore Urban","01482 080-32922725 , 241465"
"Air Force School, JC Nagar","080 23411061 extb 7955 7631 7633 , 3094322 9008511773"
"Air Force School, Jalahalli","080 8397641 , 3312817"
"Air Force School, Bidar","08482 26281 , 28187"
"Air Force School, Yelahanka","080 28478067 , 8561753 9343818181"
"Air Force School, Aste","080-25272332, 080-25401812"
"Aishwarya International Public School, Mandya","08232-213499"
"Akash International Residential Public School, Bangalore Rural","080-27681349-080, 080-27680100"
"Akash International Residential Public School, Bangalore Urban","08332 08027681349 , 25004"
"Sayyid Akbar Husayni School, Gulbarga","08472-223939"
"St. Joseph's Aksharadhama, Shimoga","09743094064, 09686124121"
"Akshara Residential School, Shimoga","08187-290279, 08187-290810"
"AL-furqan Islamic English Medium School, Dakshina Kannada","08258 206104, 324162"
"Aleemee Public School, Bengaluru","08472-653477"
"The ALG Crescent School, Kodagu","0471 29678 , 2355"
"Alpine Public School, Bangalore Urban","08041144555"
"Patil Bayyapur Amaregowda Central School, Raichur","08537-258628"
"Amarajyothi English Primary School, Bengaluru","080-5613555"
"Amara Jyothi Public School, Bangalore Urban","080 25612555 , 25655044"
"Amber Valley Residential School, Chikmagalur","08262-224535, 08262-224633"
"American Friendship Residential School, Kolar","08156-261016, 080-25280597"
"Amratha Bharathi Vidyakendra, Udupi","08253251011"
"Amrita Vidyalayam, Mysore","0821 542959 , 05278-222707"
"Amrita Vidyalayam, Dakshina Kannada","0824 2452772"
"Amrita Vidyalayam, Davanagere","0751 2427916"
"Amrita Vidyalayam, Uttara Kannada","0755 231282 , 07552550036"
"Amrita Vidyalayam, Belgaum","0831-2443153, 2441284"
"Amrita Vidyalayam, Jnanabharathi","080-23241565, 64558737"
"Anantha International School, Hassan","08174-233384, 08174-233339"
"Anand Shiksha Kendra, Bangalore Urban","080 41688547 , 41688546"
"Anantha Vidyaniketana, Bengaluru","080-27403075"
"Sishu Griha Montessori and High, Bengaluru","080-25213941, 080-25213940"
"Shalini Kannada and English Primary School, Bengaluru","080-25470576, 080-25473316"
"De Paul International Residential School and Junior College, Mandya","0281-3290401-02, 08236-290340-43"
"Basavarajeswari Public School and College, Bellary","08392-261190, 08392-261191"
"Cauvery Primary and High School, Bengaluru","080-23535678"
"Oriental Primary and High School, Dharwad","0836-2236009"
"Kendriya Vidyalaya, MEG and Center","080-25365053,25300060, 25570105"
"Manasa Gangothri Vidyalaya Kannada Nursery and Higher Primary School, Bangalore Urban","080-23407682"
"Sri Maruthi Primary and High School, Bangalore Urban","080-26850069, 26545272"
"Satyam International School and PU College, Bellary","08392257026"
"Sri Kumaran Children's Home English Nursery And Primary School, Bangalore Urban","080 6643077 , 6646826 6768658"
"Madhavakripa English Nursery And Higher Primary School, Udupi","0820 2570317 , 2574317"
"Danigond Pre-primary and Primary School, Bagalkot","08353 255599"
"Holy Angel's High School, Bengaluru","080-23404465"
"St. Antony's Public School, Dharwad","08151 374079 , 6662548"
"Appa Public School, Kodagu","08472-230255"
"Appollo National Public School, Bengaluru","080-26692847"
"Aradhana Higher Primary School, Chikkamagaluru","08261223466"
"Aradhana School, Bengaluru","080-26585781"
"Ravindra Bharathi Global School, Arakere","080 65596666"
"Army Public School, ASC Centre","080 25550677"
"Army Public School, Kamaraj Road","+91-080-25581238"
"Army Public School, Mekhri Circle","91-80-23431787 / 23433341"
"St. Arnold''s Central School, Mysore","080 0821 2453580 , 6768658"
"Dayananda Arya Vidya Public School, Mysore","044 24530678 , 044-24531454"
"Aryan English Medium School, Gulbarga","0486 08472-270225 , 241465"
"Aryan Presidency School, Bangalore Urban","080 - 23210924, 23391455, 23390343"
"Dayananda Aryavidya Public School, Bangalore Urban","0291 080-26761057 , 2555929"
"Kendriya Vidyalaya, ASC Centre","080-25300408"
"Ashok International Public School, Bangalore Urban","01285 080-23452999 , 01285-235803"
"Asia Pacific World School, Bangalore Rural","+91 80 25506045"
"Education Asia International Residential Karur Public School, Haveri",""
"Education Asia International School, Raichur","08532240453"
"South East Asian International School, Bengaluru","+91-80-25613741/742,25613418"
"St. Francis of Assisi School, Belgaum","08338-272670"
"Athreya Public School, Mandya","08232-223535"
"Assisi Central School, Dakshina Kannada","0824-2202069"
"Atomic Energy Central School, Uttara Kannada","08382 54868 , 54857"
"Atomic Energy Central School, Mysore","0821 2402257 , 2469630"
"Atreya Vidyaniketan, Bangalore Urban","0712 08023190295 , 530681/9902251956"
"St. Dominic's School, Attibele","080 27821841, 27800272"
"Auden Institute of Education, Bengaluru","080-26721901, 080-26727745"
"Sri Aurobindo Memorial School, Bangalore Urban","080 6716666 , 6717777 09241743252"
"Auxilium School, Bengaluru","080-28473594, 080-28472364"
"Sree Ayyappa Education Centre, Bangalore Urban","080 28341634 , 28382299"
"B.P. Indian Public School, Bengaluru","080-23347314, 080-23448888"
"S.S.B. International School, Bangalore Urban","080 4152 3548"
"B B U L Jain Vidyalaya, Bangalore Urban","080 41554379 , 6522936 26764887"
"B.M. English School, Bengaluru","080-65357156, 080-28459301"
"B E L School, Bangalore Urban","080 22195682 , 8381074"
"Vidyavardhaka Sangha B M Sri Educational Institutions, Mysore","0821 2561267 , 28562544"
"B G S Education Centre, Dakshina Kannada","0493 484749 , 2332088"
"B.M.N. Public School, Bangalore Urban","08065355600"
"Sree Channamallikarjuna C.B.S.E School, Shimoga","01285 0817222758 , 220187"
"B.S. Central School, Bijapur","08356-224199"
"Sri B.V.N. Central Public School, Kolar","08284 08153-266224 , 28562544"
"B.R.S Global Center For Excellence, Bangalore Urban","080-25741164"
"B.R.V. Public School, Bangalore Urban","26665374"
"Shri B T Patil Memorial Nandi International Residential School, Bijapur","04931 08355-280002 , 04931270562"
"Sri B. M. Patil Public School, Bijapur","08352263101"
"B S V Public School, Bangalore Urban","0807272256"
"B G S Central School, Shimoga","08282291177"
"St. Theresa Bacq Public School, Bengaluru","080-28445994"
"K R Lakkam Memorial C.b.s.e School, Bagalkot","08350-283790"
"Baden Powell School, Mysore","0484 424779 , 420160 2328942"
"Bhageerathi Bai Narayana Rao Maanay Public School, Bengaluru","080-26714440, 080-26713243"
"Pyari Bai Sampathraj Kothari School, Raichur","08532 223129"
"Bala Yesu Vidyalaya High School, Raichur","08284 08532-240350, 241879 , 28562544"
"Bala Vinayaka Vidyaniketan, Gadag","08372 250074 , 09480343610"
"Baldwin Boys' High School, Bengaluru","080-22213720, 080-49363866"
"Baldwin Girls' High School, Bengaluru","080-22211743, 080-22214125"
"New Baldwin English Primary School, Bengaluru","080-25453799, 080-25457389"
"Baldwin Co-Education Extension High School, Bengaluru","080-28601536"
"New Baldwin International Residential School, Bangalore Urban","080 61774500, 25559145, 25559001, 45544554"
"New Baldwin International Residential School, Bangalore Urban","08025559145"
"New Baldwin School, Bengaluru","080-28444207"
"Balodyana English School, Mysore","0821 567513 , 482107"
"National Public School, Banashankari","080-28611799 / 28612180 080-28612212 / 28612266"
"Deva Matha Central School, Banaswadi","080-65478141, 25458180"
"National Public School, Bandappagarden","080 23474421 , 28562544"
"Jnana Bandhu Vidyalaya, Mandya","9342919320"
"Bangalore Public School, Bengaluru","080-25273660"
"Bangalore International Public School, Bengaluru","080-32505151, 080-26664446"
"Bangalore International School, Bengaluru","080 2846 5060 or 2844 5852,"
"Delhi Public School, Bangalore South","+91-80-2666 8582"
"Delhi Public School, Bangalore East","+91 80 2782 2260/61/63"
"Delhi Public School, Bangalore North","+91.80 2847 8043"
"Sri Sri Ravishankar Vidya Mandir, Bangalore East","080 65835859"
"Sri Sri Ravishankar Vidya Mandir, Bangalore North","080-23641305, 23645366"
"Sri Sri Ravishankar Vidya Mandir, Bangalore South","080-32946230"
"Bangalore Scottish School, Bangalore Urban","07272 9341931369 , 07272228928"
"Silicon Valley School, Bannerghatta","080 - 22720810"
"Bhavan-bangalore Press School, Bangalore Urban","080-26705069"
"Ryan International School, Bannerghatta","080-2782 8213, 080-2782 8214"
"Vibgyor High, Bannerghatta Road","080 - 2607 2500"
"Sri Chaitanya Techno School, Bannerghatta","080-64552082"
"Bantwal Raghurama Mukunda Prabhu Centenary Public School, Dakshina Kannada","08255 233973"
"Bapuji Higher Primary English School, Davanagere","08192 220877 , 84322"
"Bapuji International School, Bagalkot","08425-276067"
"Shri Bapuji International School, Belgaum","0831-293999"
"Maganur Basappa Central School, Davanagere","01398 08192 260466 , 01398-250757"
"Sri Basava International School, Davanagere","08189-294988"
"Sri Basava Public School, Bagalkot","9448137918"
"Shree Sadguru Sharan Basaveshwar English Medium School, Bagalkot","08353255888"
"Shree Basaveshwar Public School, Bidar","08481250492"
"Basaveshwara International Public School, Bagalkot","08354-233940"
"Shri Basaveshwar Temple International School, Bijapur","08351-268060"
"Shree Basaveshwara Primary School, Tumkur","0816282411"
"Kendriya Vidyalaya, Cowl Bazaar","08392 - 240837, 240909"
"Presidency School, Belekalli","+91-80-26485648 / 49"
"Green Bell High, Bangalore Urban","080 - 65973295"
"Patel Public School, Bellandur","080-28440553, 080-65580003"
"Narayana E-techno School, Bellandur","080-25747979, 080-25747315"
"Beml Public School, Bangalore Urban","080 25244575/ 25247242 , 5243205"
"St. Benedict's School, Bangalore Urban","08057742523"
"Euro School, Bengaluru East","080-65690960/1/2"
"Bethany High School, Bengaluru","080-25533603"
"MTB Jnana Jyothi Vidyanikethan, Bangalore Urban","08028511890"
"Mandara Jnanadayini School, Shimoga","08182 226608 , 224169"
"Jnanaganga Residential School, Kodagu","08276 277320 , 02938222399"
"Sri Jnanakshi Vidya Niketan, Bangalore Urban","080 28605896 , 08028602750"
"Jnanavahini Residential Vidyasamsthe, Raichur","7259020339"
"Jnanodaya School, Bangalore Urban","080 6500524 , 6671311"
"St. John's School, Bengaluru","080-22331313"
"St. John's School, Davanagere","08537-258628"
"St. Joseph's School, Shimoga","0839 08312404040 , 6637959"
"JSS Public School, Hassan","07182 230899, 09 , 07182-236457"
"JSS Public School, Bellary","011 08399 241122 , 011-20052515"
"JSS Public School, Kolar","08151 33101 , 6662548"
"JSS Public School, Dharwad","0482 0836 2774486 , 01242379991"
"Vidya Jyothi School, Kolar","08152-290746"
"Jyothy Kendriya Vidyalaya, Bangalore Urban","2632 1237 / 2632 1932"
"Jyothi Nivas School, Mandya","09845277992, 09480382798"
"M.k. Shetty School, Dakshina Kannada","08258237663"
"SMT. Kamalabai M. Nirani Residential School, Bagalkot","08350246101"
"Kalpavruksha Model School, Belgaum","0161 08288236889 , 23805387"
"Kanachur Public School, Dakshina Kannada","0824 2202982"
"Kanva Public School, Bengaluru","080-27700275"
"Karnataka Public School, Bidar","0848 225769 , 226078"
"Presidency School, Kasturinagar","080- 42052428 / 25425597"
"Karnataka Public School, Bangalore Urban","080 32972780 , 28562544"
"Katherine Public School, Bangalore Urban","08028467040"
"Kautilya Vidyalaya, Mysore","0821-2901444"
"Kenbridge School, Gulbarga","08472231447"
"Sri Satyasai Loka Seva Vidya Kendra, Dakshina Kannada","08255 52272 , 3335557"
"Sri Satyasai Vidya Kendra, Kolar","080 23540854 , 84322"
"Sri Sai Saraswathi Vidya Kendra, Mysore","00821 598668 , 60319"
